movie_id,avg_rating,num_ratings,title
408,4.491071428571429,112,"Close Shave, A (1995)"
318,4.466442953020135,298,Schindler's List (1993)
169,4.466101694915254,118,"Wrong Trousers, The (1993)"
483,4.45679012345679,243,Casablanca (1942)
114,4.447761194029851,67,Wallace & Gromit: The Best of Aardman Animation (1996)
64,4.445229681978798,283,"Shawshank Redemption, The (1994)"
603,4.3875598086124405,209,Rear Window (1954)
12,4.385767790262173,267,"Usual Suspects, The (1995)"
50,4.3584905660377355,583,Star Wars (1977)
178,4.344,125,12 Angry Men (1957)
